X,Y,ID,LOCN,MPD_NAME,ADDRESS,CITY,ZIP,MPD_TYPE,MAP_TYPE,LABEL,MAP_DESC,MPD_DESC,LD,FULLNAME,CDSCODE,CHARTER,MAP_TYPE_MAPPING,TOOLTIP,NLA_URL
-118.528373575574605,34.205597871471277,1011,4055,GARDEN GROVE ES,18141 VALERIO ST,RESEDA,91335,E,ES,Garden Grove,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Garden Grove Elementary School,19647336017206, ,ES,Name: Garden Grove Elementary School\nAddress: 18141 VALERIO ST RESEDA 91335,navigatela/reports/lausd_school_report.cfm?PK=1011
-118.49929612369597,34.227681325136501,1012,6027,PARTHENIA ES,16825 NAPA ST,NORTH HILLS,91343,E,ES,Parthenia St,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Parthenia Street Elementary School,19647336018691, ,ES,Name: Parthenia Street Elementary School\nAddress: 16825 NAPA ST NORTH HILLS 91343,navigatela/reports/lausd_school_report.cfm?PK=1012
-118.470816604455138,34.230183382098481,1013,4775,LANGDON ES,8817 LANGDON AVE,NORTH HILLS,91343,E,ES,Langdon Ave,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Langdon Avenue Elementary School,19647336017776, ,ES,Name: Langdon Avenue Elementary School\nAddress: 8817 LANGDON AVE NORTH HILLS 91343,navigatela/reports/lausd_school_report.cfm?PK=1013
-118.459617715950742,34.20659058213699,1014,8142,FULTON COLLEGE PREP,7477 KESTER AVE,VAN NUYS,91405,EJ,SS,Fulton College Prep,"Span School (Span School, Special Ed School)",Span School,0,Robert Fulton College Preparatory School,19647336058002, ,SS,Name: Robert Fulton College Preparatory School\nAddress: 7477 KESTER AVE VAN NUYS 91405,navigatela/reports/lausd_school_report.cfm?PK=1014
-118.460814696412569,34.183656077465905,1015,7027,SYLVAN PARK ES,6238 NOBLE AVE,VAN NUYS,91411,E,ES,Sylvan Park,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Sylvan Park Elementary School,19647336019418, ,ES,Name: Sylvan Park Elementary School\nAddress: 6238 NOBLE AVE VAN NUYS 91411,navigatela/reports/lausd_school_report.cfm?PK=1015
-118.477536549457113,34.195403694455152,1016,2323,BASSETT ES,15756 BASSETT ST,VAN NUYS,91406,E,ES,Bassett St,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Bassett Street Elementary School,19647336015960, ,ES,Name: Bassett Street Elementary School\nAddress: 15756 BASSETT ST VAN NUYS 91406,navigatela/reports/lausd_school_report.cfm?PK=1016
-118.478267281706948,34.207617916570676,1017,3137,COHASSET ES,15810 SATICOY ST,VAN NUYS,91406,E,ES,Cohasset St,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Cohasset Street Elementary School,19647336016547, ,ES,Name: Cohasset Street Elementary School\nAddress: 15810 SATICOY ST VAN NUYS 91406,navigatela/reports/lausd_school_report.cfm?PK=1017
-118.415541332608271,34.213009184385605,1018,6565,SATICOY ES,7850 ETHEL AVE,NO HOLLYWOOD,91605,E,ES,Saticoy,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Saticoy Elementary School,19647336019087, ,ES,Name: Saticoy Elementary School\nAddress: 7850 ETHEL AVE NO HOLLYWOOD 91605,navigatela/reports/lausd_school_report.cfm?PK=1018
-118.400903399506205,34.214958930391759,1019,6959,STRATHERN ES,7939 ST CLAIR AVE,NO HOLLYWOOD,91605,E,ES,Strathern St,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Strathern Street Elementary School,19647336019368, ,ES,Name: Strathern Street Elementary School\nAddress: 7939 ST CLAIR AVE NO HOLLYWOOD 91605,navigatela/reports/lausd_school_report.cfm?PK=1019
-118.403941671577272,34.223947128091439,1020,8636,POLYTECHNIC HS,12431 ROSCOE BLVD,SUN VALLEY,91352,S,HS,Francis Polytechnic High,"High School (High School, Academy School, Continuation High School, Newcomer School, Community Day School, Special Ed School, Magnet Center on Regular Campus)",High School,0,John H. Francis Polytechnic High School,19647331932987, ,HS,Name: John H. Francis Polytechnic High School\nAddress: 12431 ROSCOE BLVD SUN VALLEY 91352,navigatela/reports/lausd_school_report.cfm?PK=1020
-118.382767701220345,34.214995877876575,1021,2205,ARMINTA ES,11530 STRATHERN ST,NO HOLLYWOOD,91605,E,ES,Arminta St,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Arminta Street Elementary School,19647336015879, ,ES,Name: Arminta Street Elementary School\nAddress: 11530 STRATHERN ST NO HOLLYWOOD 91605,navigatela/reports/lausd_school_report.cfm?PK=1021
-118.382726328882512,34.205797930045023,1022,2726,CAMELLIA ES,7451 CAMELLIA AVE,NO HOLLYWOOD,91605,E,ES,Camellia Ave,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Camellia Avenue Elementary School,19647336016273, ,ES,Name: Camellia Avenue Elementary School\nAddress: 7451 CAMELLIA AVE NO HOLLYWOOD 91605,navigatela/reports/lausd_school_report.cfm?PK=1022
-118.376381002859802,34.203240868700497,1023,8396,SUN VALLEY ET MAG,7330 BAKMAN AVE,SUN VALLEY,91352,J,M,Sun Valley ET Mag,Magnet School,Middle School Magnet - Self Contained,0,Sun Valley Engineering Technology Magnet School,19647336061600, ,M,Name: Sun Valley Engineering Technology Magnet School\nAddress: 7330 BAKMAN AVE SUN VALLEY 91352,navigatela/reports/lausd_school_report.cfm?PK=1023
-118.375627905315525,34.189465041184441,1024,3712,FAIR ES,6501 FAIR AVE,NO HOLLYWOOD,91606,E,ES,Fair Ave,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Fair Avenue Elementary School,19647336016984, ,ES,Name: Fair Avenue Elementary School\nAddress: 6501 FAIR AVE NO HOLLYWOOD 91606,navigatela/reports/lausd_school_report.cfm?PK=1024
-118.392980408056957,34.185697265790274,1025,7521,VICTORY ES,6315 RADFORD AVE,NO HOLLYWOOD,91606,E,ES,Victory Blvd,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Victory Boulevard Elementary School,19647336019764, ,ES,Name: Victory Boulevard Elementary School\nAddress: 6315 RADFORD AVE NO HOLLYWOOD 91606,navigatela/reports/lausd_school_report.cfm?PK=1025
-118.288689055695173,33.837943512815116,1026,7419,VAN DEENE ES,826 W JAVELIN ST,TORRANCE,90502,E,ES,Van Deene Ave,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Van Deene Avenue Elementary School,19647336019665, ,ES,Name: Van Deene Avenue Elementary School\nAddress: 826 W JAVELIN ST TORRANCE 90502,navigatela/reports/lausd_school_report.cfm?PK=1026
-118.282806775578578,33.822358896578457,1027,2815,CAROLDALE LC,22424 CAROLDALE AVE,CARSON,90745,EJ,SS,Caroldale Lrng Comm,"Span School (Span School, Special Ed School)",Span School,0,Caroldale Learning Community,19647336016349, ,SS,Name: Caroldale Learning Community\nAddress: 22424 CAROLDALE AVE CARSON 90745,navigatela/reports/lausd_school_report.cfm?PK=1027
-118.273949227529187,33.822219075796426,1028,8575,CARSON HS,22328 S MAIN ST,CARSON,90745,S,HS,Carson High,"High School (High School, Academy School, Continuation High School, Newcomer School, Community Day School, Special Ed School, Magnet Center on Regular Campus)",High School,0,Carson High School,19647331931526, ,HS,Name: Carson High School\nAddress: 22328 S MAIN ST CARSON 90745,navigatela/reports/lausd_school_report.cfm?PK=1028
-118.260924590810561,33.855842782830209,1029,4829,LEAPWOOD ES,19302 LEAPWOOD AVE,CARSON,90746,E,ES,Leapwood Ave,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Leapwood Avenue Elementary School,19647336017826, ,ES,Name: Leapwood Avenue Elementary School\nAddress: 19302 LEAPWOOD AVE CARSON 90746,navigatela/reports/lausd_school_report.cfm?PK=1029
-118.251821081318283,33.854163091468706,1030,2146,ANNALEE ES,19410 S ANNALEE AVE,CARSON,90746,E,ES,Annalee Ave,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Annalee Avenue Elementary School,19647336015820, ,ES,Name: Annalee Avenue Elementary School\nAddress: 19410 S ANNALEE AVE CARSON 90746,navigatela/reports/lausd_school_report.cfm?PK=1030
-118.320781619326794,33.801436419100142,1031,4932,LOMITA MATH/SCI MAG,2211 W 247TH ST,LOMITA,90717,ES,M,Lomita Mag,Magnet School,Elementary School Magnet - Self Contained,0,Lomita Math/Science/Technology Magnet,19647336017933, ,M,Name: Lomita Math/Science/Technology Magnet\nAddress: 2211 W 247TH ST LOMITA 90717,navigatela/reports/lausd_school_report.cfm?PK=1031
-118.31394372415555,33.788251793124893,1032,3640,ESHELMAN ES,25902 ESHELMAN AV,LOMITA,90717,E,ES,Eshelman Ave,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Eshelman Avenue Elementary School,19647336016950, ,ES,Name: Eshelman Avenue Elementary School\nAddress: 25902 ESHELMAN AV LOMITA 90717,navigatela/reports/lausd_school_report.cfm?PK=1032
-118.305383405192998,33.802941023445868,1033,8779,NARBONNE HS,24300 S WESTERN AVE,HARBOR CITY,90710,S,HS,Narbonne High,"High School (High School, Academy School, Continuation High School, Newcomer School, Community Day School, Special Ed School, Magnet Center on Regular Campus)",High School,0,Nathaniel Narbonne High School,19647331936160, ,HS,Name: Nathaniel Narbonne High School\nAddress: 24300 S WESTERN AVE HARBOR CITY 90710,navigatela/reports/lausd_school_report.cfm?PK=1033
-118.315632011991099,33.76593053609318,1034,8110,DODSON MS,28014 MONTEREINA DR,RANCHO PALOS VERDES,90275,J,MS,Dodson Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Rudecinda Sepulveda Dodson Middle School,19647336061436, ,MS,Name: Rudecinda Sepulveda Dodson Middle School\nAddress: 28014 MONTEREINA DR RANCHO PALOS VERDES 90275,navigatela/reports/lausd_school_report.cfm?PK=1034
-118.304006106346662,33.753490672125807,1035,6013,PARK WESTERN ES,1214 PARK WESTERN,SAN PEDRO,90732,E,ES,Park Western Pl,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Park Western Place Elementary School,19647336018675, ,ES,Name: Park Western Place Elementary School\nAddress: 1214 PARK WESTERN SAN PEDRO 90732,navigatela/reports/lausd_school_report.cfm?PK=1035
-118.309204446051041,33.740688530579689,1036,1957,WILLENBERG SP ED CTR,308 WEYMOUTH AVE,SAN PEDRO,90731,H,SS,Willenberg Spec Ed Ctr,"Span School (Span School, Special Ed School)",Handicapped (Special Ed),0,Ernest P. Willenberg Special Education Center,19647336060503, ,SS,Name: Ernest P. Willenberg Special Education Center\nAddress: 308 WEYMOUTH AVE SAN PEDRO 90731,navigatela/reports/lausd_school_report.cfm?PK=1036
-118.310772125341913,33.738627253185733,1037,6616,7TH ST ES,1570 W SEVENTH ST,SAN PEDRO,90732,E,ES,7th St,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,7th Street Elementary School,19647336019129, ,ES,Name: 7th Street Elementary School\nAddress: 1570 W SEVENTH ST SAN PEDRO 90732,navigatela/reports/lausd_school_report.cfm?PK=1037
-118.322571709026278,33.723239581026974,1038,6870,SOUTH SHORES PER ARTS MG,2060 W 35TH ST,SAN PEDRO,90732,ES,M,South Shores Mag,Magnet School,Elementary School Magnet - Self Contained,0,South Shores/CSUDH Visual and Performing Arts,19647336019301, ,M,Name: South Shores/CSUDH Visual and Performing Arts\nAddress: 2060 W 35TH ST SAN PEDRO 90732,navigatela/reports/lausd_school_report.cfm?PK=1038
-118.298416069841565,33.762549448389208,1039,7035,TAPER ES,1824 TAPER AVE,SAN PEDRO,90731,E,ES,Taper Ave,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Taper Avenue Elementary School,19647336019426, ,ES,Name: Taper Avenue Elementary School\nAddress: 1824 TAPER AVE SAN PEDRO 90731,navigatela/reports/lausd_school_report.cfm?PK=1039
-118.288975062011687,33.74648550391327,1040,2315,BARTON HILL ES,423 N PACIFIC AVE,SAN PEDRO,90731,E,ES,Barton Hill,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Barton Hill Elementary School,19647336015952, ,ES,Name: Barton Hill Elementary School\nAddress: 423 N PACIFIC AVE SAN PEDRO 90731,navigatela/reports/lausd_school_report.cfm?PK=1040
-118.293692108177268,33.737441667588847,1041,2685,CABRILLO ES,732 S CABRILLO AVE,SAN PEDRO,90731,E,ES,Cabrillo Ave,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Cabrillo Avenue Elementary School,19647336016224, ,ES,Name: Cabrillo Avenue Elementary School\nAddress: 732 S CABRILLO AVE SAN PEDRO 90731,navigatela/reports/lausd_school_report.cfm?PK=1041
-118.295767043351802,33.730260412968029,1042,8104,DANA MS,1501 S CABRILLO AVE,SAN PEDRO,90731,J,MS,Dana Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Richard Henry Dana Middle School,19647336057954, ,MS,Name: Richard Henry Dana Middle School\nAddress: 1501 S CABRILLO AVE SAN PEDRO 90731,navigatela/reports/lausd_school_report.cfm?PK=1042
-118.286797395708376,33.730164024557567,1043,3767,15TH ST ES,1527 S MESA ST,SAN PEDRO,90731,E,ES,15th St,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,15th Street Elementary School,19647336017032, ,ES,Name: 15th Street Elementary School\nAddress: 1527 S MESA ST SAN PEDRO 90731,navigatela/reports/lausd_school_report.cfm?PK=1043
-118.300100500472425,33.72473940593985,1044,4836,LELAND ES,2120 S LELAND ST,SAN PEDRO,90731,E,ES,Leland St,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,Leland Street Elementary School,19647336017834, ,ES,Name: Leland Street Elementary School\nAddress: 2120 S LELAND ST SAN PEDRO 90731,navigatela/reports/lausd_school_report.cfm?PK=1044
-118.307346980899993,33.716189568400978,1045,7767,WHITE POINT ES,1410 SILVIUS AVE,SAN PEDRO,90731,E,ES,White Point,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Elementary School,0,White Point Elementary School,19647336019947, ,ES,Name: White Point Elementary School\nAddress: 1410 SILVIUS AVE SAN PEDRO 90731,navigatela/reports/lausd_school_report.cfm?PK=1045
-118.290239668811282,33.714255627694683,1046,6137,POINT FERMIN ES MAR SCI MAG,3333 KERCKHOFF AVE,SAN PEDRO,90731,ES,M,Pt Fermin Mag,Magnet School,Elementary School Magnet - Self Contained,0,Point Fermin Elementary Marine Science Magnet,19647336018766, ,M,Name: Point Fermin Elementary Marine Science Magnet\nAddress: 3333 KERCKHOFF AVE SAN PEDRO 90731,navigatela/reports/lausd_school_report.cfm?PK=1046
-118.327620145671389,33.996645308330962,1047,8596,CRENSHAW STEMM MAG,5010 11TH AVE,LOS ANGELES,90043,SS,M,Crenshaw STEMM Mag,Magnet School,High School Magnet - Self Contained,0,Crenshaw Science Tech Engineer Math and Medicine Magnet,19647331932128, ,M,Name: Crenshaw Science Tech Engineer Math and Medicine Magnet\nAddress: 5010 11TH AVE LOS ANGELES 90043,navigatela/reports/lausd_school_report.cfm?PK=1047
-118.44045351175572,34.307891610525104,1048,8878,SYLMAR HS,13050 BORDEN AVE,SYLMAR,91342,S,HS,Sylmar High,"High School (High School, Academy School, Continuation High School, Newcomer School, Community Day School, Special Ed School, Magnet Center on Regular Campus)",High School,0,Sylmar High School,19647331938554, ,HS,Name: Sylmar High School\nAddress: 13050 BORDEN AVE SYLMAR 91342,navigatela/reports/lausd_school_report.cfm?PK=1048
-118.504606581580632,34.18925999652496,1049,8557,BIRMINGHAM HS,17000 HAYNES ST,VAN NUYS,91406,S,CCI,Birmingham High,Independent Charter,High School,0,Birmingham High School,19647331931047,Y,CHAR,Name: Birmingham High School\nAddress: 17000 HAYNES ST VAN NUYS 91406,navigatela/reports/lausd_school_report.cfm?PK=1049
-118.39003900636942,34.166712945103271,1050,8786,NORTH HOLLYWOOD HS,5231 COLFAX AVE,NO HOLLYWOOD,91601,S,HS,North Hollywood High,"High School (High School, Academy School, Continuation High School, Newcomer School, Community Day School, Special Ed School, Magnet Center on Regular Campus)",High School,0,North Hollywood High School,19647331936350, ,HS,Name: North Hollywood High School\nAddress: 5231 COLFAX AVE NO HOLLYWOOD 91601,navigatela/reports/lausd_school_report.cfm?PK=1050
-118.403382098062067,34.269946664978484,1051,5016,COUGHLIN ES,11035 BORDEN AVE,PACOIMA,91331,ES,ES,Coughlin,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Magnet Center on Regular Campus)",Elementary School,0,Sara Coughlin Elementary School,19647336110951, ,ES,Name: Sara Coughlin Elementary School\nAddress: 11035 BORDEN AVE PACOIMA 91331,navigatela/reports/lausd_school_report.cfm?PK=1051
-118.164324359311081,34.039650254409629,1052,9579,BROOKLYN EEC,329 N ARIZONA AVE,LOS ANGELES,90022,Z,ES,Brooklyn EEC,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Early Education Center,0,Brooklyn Early Education Center, , ,ES,Name: Brooklyn Early Education Center\nAddress: 329 N ARIZONA AVE LOS ANGELES 90022,navigatela/reports/lausd_school_report.cfm?PK=1052
-118.604876760961872,34.20433473735703,1053,9592,CANOGA PARK EEC,7355 VASSAR AVE,CANOGA PARK,91303,Z,ES,Canoga Park EEC,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Early Education Center,0,Canoga Park Early Education Center, , ,ES,Name: Canoga Park Early Education Center\nAddress: 7355 VASSAR AVE CANOGA PARK 91303,navigatela/reports/lausd_school_report.cfm?PK=1053
-118.374749206027673,34.04639541436827,1054,9597,CRESCENT HTS EEC,1770 S ALVIRA ST,LOS ANGELES,90035,Z,ES,Crescent Heights EEC,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Early Education Center,0,Crescent Heights Early Education Center, , ,ES,Name: Crescent Heights Early Education Center\nAddress: 1770 S ALVIRA ST LOS ANGELES 90035,navigatela/reports/lausd_school_report.cfm?PK=1054
-118.18460853722199,34.017151187028226,1055,9515,EASTMAN EEC,1266 S GAGE AVE,LOS ANGELES,90023,Z,ES,Eastman EEC,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Early Education Center,0,Eastman Early Education Center, , ,ES,Name: Eastman Early Education Center\nAddress: 1266 S GAGE AVE LOS ANGELES 90023,navigatela/reports/lausd_school_report.cfm?PK=1055
-118.175956559777049,34.090002762296542,1056,9581,EL SERENO EEC,3802 PUEBLO AVE,LOS ANGELES,90032,Z,ES,El Sereno EEC,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Early Education Center,0,El Sereno Early Education Center, , ,ES,Name: El Sereno Early Education Center\nAddress: 3802 PUEBLO AVE LOS ANGELES 90032,navigatela/reports/lausd_school_report.cfm?PK=1056
-118.204829960591766,34.072378752413982,1057,9589,GATES EEC,2306 THOMAS ST,LOS ANGELES,90031,Z,ES,Gates EEC,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Early Education Center,0,Gates Early Education Center, , ,ES,Name: Gates Early Education Center\nAddress: 2306 THOMAS ST LOS ANGELES 90031,navigatela/reports/lausd_school_report.cfm?PK=1057
-118.23822224917744,33.962017523700339,1058,9518,GRAHAM EEC,8332 S ELM ST,LOS ANGELES,90001,Z,ES,Graham EEC,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Early Education Center,0,Graham Early Education Center, , ,ES,Name: Graham Early Education Center\nAddress: 8332 S ELM ST LOS ANGELES 90001,navigatela/reports/lausd_school_report.cfm?PK=1058
-118.276829947217294,33.775190465277042,1059,9522,HAWAIIAN EEC,501 HAWAIIAN AVE,WILMINGTON,90744,Z,ES,Hawaiian EEC,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Early Education Center,0,Hawaiian Early Education Center, , ,ES,Name: Hawaiian Early Education Center\nAddress: 501 HAWAIIAN AVE WILMINGTON 90744,navigatela/reports/lausd_school_report.cfm?PK=1059
-118.305890068859725,34.053290046118846,1060,9583,HOBART EEC,982 S SERRANO AVE,LOS ANGELES,90006,Z,ES,Hobart EEC,"Elementary School (Elementary School, Primary Center, Children Center (EEC), State Preschool, Academy School, Newcomer School, Special Ed School, Magnet Center on Regular Campus)",Early Education Center,0,Hobart Early Education Center, , ,ES,Name: Hobart Early Education Center\nAddress: 982 S SERRANO AVE LOS ANGELES 90006,navigatela/reports/lausd_school_report.cfm?PK=1060
